country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_per_capita,co2_per_gdp,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
India,1850,IND,235732435.0,223302598656.0,,,,,,,,,,,,,,,,,,,,302.76,,,,0.192,1.479,302.76,1.284,200.839,0.852,20.571,0.087,,,,,,,,,,,,11.474,,,11.474,,,,,,,348.632,45.279
India,1851,IND,236535920.0,224090505216.0,,,,,,,,,,,,,,,,,,,,535.086,,,,0.192,1.358,232.326,0.982,201.612,0.852,20.986,0.089,,,,,,,,,,,,9.803,,,8.239,,6.03,0.0,0.0,0.0,0.0,321.197,45.503
India,1852,IND,237318415.0,,,,,,,,,,,,,,,,,,,,,730.438,,,,0.193,1.298,195.352,0.823,202.385,0.853,21.391,0.09,,,,,,,,,,,,8.784,,,6.836,,5.828,0.0,0.0,0.0,0.0,308.02,45.728
India,1853,IND,238079774.0,,,,,,,,,,,,,,,,,,,,,903.581,,,,0.193,1.267,173.143,0.727,203.159,0.853,21.78,0.091,,,,,,,,,,,,8.052,,,5.959,,5.675,0.0,0.0,0.0,0.0,301.572,45.952
India,1854,IND,238843552.0,,,,,,,,,,,,,,,,,,,,,1061.833,,,,0.193,1.249,158.252,0.663,203.933,0.854,22.144,0.093,,,,,,,,,,,,7.511,,,5.429,,5.55,0.0,0.0,0.0,0.0,298.259,46.177
India,1855,IND,239609756.0,,,,,,,,,,,,,,,,,,,,,1208.27,,,,0.194,1.23,146.436,0.611,204.708,0.854,22.48,0.094,,,,,,,,,,,,7.101,,,5.087,,5.463,0.0,0.0,0.001,0.0,294.612,46.401
India,1856,IND,240378394.0,,,,,,,,,,,,,,,,,,,,,1348.249,,,,0.194,1.225,139.979,0.582,205.484,0.855,22.779,0.095,,,,,,,,,,,,6.747,,,4.715,,5.379,0.0,0.0,0.001,0.0,294.387,46.625
India,1857,IND,241149472.0,,,,,,,,,,,,,,,,,,,,,1481.091,,,,0.194,1.207,132.842,0.551,206.26,0.855,23.036,0.096,,,,,,,,,,,,6.458,,,4.501,,5.308,0.0,0.0,0.001,0.0,291.145,46.848
India,1858,IND,241923000.0,,,,0.394,,,128.179,,,0.53,,0.002,,0.394,0.002,,0.394,128.179,0.394,0.0,1608.875,0.0,0.0,0.0,0.197,1.204,127.784,0.528,207.113,0.856,23.243,0.096,0.0,0.0,,0.138,3.931,0.138,,0.006,0.456,0.006,,6.21,0.0,,4.296,0.0,5.251,0.0,0.0,0.001,0.0,291.176,47.541
India,1859,IND,242698983.0,,,,0.636,0.242,61.345,123.026,-5.153,-4.02,0.507,,0.003,,0.636,0.003,,1.031,251.204,1.031,0.0,1731.264,0.0,0.0,0.0,0.198,1.191,122.389,0.504,207.937,0.857,23.396,0.096,0.0,0.0,,0.21,3.682,0.21,,0.015,0.799,0.015,,5.981,0.0,,4.028,0.0,5.187,0.001,0.0,0.001,0.0,289.092,48.051
India,1860,IND,243477427.0,,,,0.643,0.007,1.042,122.298,-0.727,-0.591,0.502,,0.003,,0.643,0.003,,1.674,373.503,1.674,0.0,1852.92,0.0,0.0,0.0,0.198,1.192,121.655,0.5,208.717,0.857,23.487,0.096,0.0,0.0,,0.194,3.928,0.194,,0.023,1.081,0.023,,5.84,0.0,,4.375,0.0,5.163,0.001,0.0,0.001,0.0,290.15,48.279
India,1861,IND,244258342.0,219618557952.0,,,0.497,-0.146,-22.68,119.583,-2.715,-2.22,0.49,0.545,0.002,0.002,0.497,0.002,,2.171,493.086,2.171,0.0,1972.005,0.0,0.0,0.0,0.198,1.188,119.086,0.488,209.468,0.858,23.539,0.096,0.0,0.0,,0.142,3.837,0.143,,0.028,1.309,0.028,,5.717,0.0,,4.303,0.0,5.139,0.001,0.0,0.001,0.0,290.156,48.326
India,1862,IND,245041734.0,,,,0.55,0.053,10.667,116.69,-2.893,-2.419,0.476,,0.002,,0.55,0.002,,2.722,609.776,2.722,0.0,2088.145,0.0,0.0,0.0,0.198,1.183,116.14,0.474,210.258,0.858,23.581,0.096,0.0,0.0,,0.155,3.769,0.155,,0.034,1.496,0.034,,5.608,0.0,,4.238,0.0,5.118,0.001,0.0,0.001,0.0,289.921,48.609
India,1863,IND,245827611.0,,,,0.61,0.06,10.843,115.616,-1.074,-0.92,0.47,,0.002,,0.61,0.002,,3.332,725.392,3.332,0.0,2203.152,0.0,0.0,0.0,0.199,1.182,115.006,0.468,211.05,0.859,23.615,0.096,0.0,0.0,,0.161,3.746,0.161,,0.039,1.654,0.039,,5.516,0.0,,4.248,0.0,5.099,0.001,0.0,0.001,0.0,290.642,48.901
India,1864,IND,246615984.0,,,,0.577,-0.033,-5.435,113.272,-2.345,-2.028,0.459,,0.002,,0.577,0.002,,3.908,838.664,3.908,0.0,2315.846,0.0,0.0,0.0,0.199,1.176,112.695,0.457,211.825,0.859,23.645,0.096,0.0,0.0,,0.141,3.741,0.141,,0.044,1.789,0.044,,5.441,0.0,,4.303,0.0,5.084,0.001,0.0,0.001,0.0,290.141,49.083
India,1865,IND,247406860.0,,,,0.567,-0.01,-1.724,114.497,1.225,1.082,0.463,,0.002,,0.567,0.002,,4.475,953.161,4.475,0.0,2429.776,0.0,0.0,0.0,0.199,1.18,113.93,0.46,212.604,0.859,23.673,0.096,0.0,0.0,,0.13,3.809,0.131,,0.048,1.911,0.048,,5.383,0.0,,4.431,0.0,5.073,0.001,0.0,0.001,0.0,292.029,49.293
India,1866,IND,248200247.0,,,,0.64,0.073,12.866,113.185,-1.312,-1.146,0.456,,0.003,,0.64,0.003,,5.115,1066.346,5.115,0.0,2542.321,0.0,0.0,0.0,0.2,1.179,112.545,0.453,213.401,0.86,23.701,0.095,0.0,0.0,,0.142,3.702,0.143,,0.052,2.014,0.052,,5.325,0.0,,4.315,0.0,5.057,0.001,0.0,0.002,0.0,292.595,49.602
India,1867,IND,248996154.0,,,,,,,,,,,,,,,,,,,,,2653.632,,,,0.197,1.172,111.31,0.447,214.061,0.86,23.731,0.095,,,,,,,,,,,,5.274,,,4.331,,5.041,0.001,0.0,0.002,0.0,291.82,49.063
India,1868,IND,249794587.0,,,,,,,,,,,,,,,,,,,,,2764.227,,,,0.197,1.172,110.596,0.443,214.845,0.86,23.768,0.095,,,,,,,,,,,,5.23,,,4.356,,5.027,0.001,0.001,0.002,0.0,292.8,49.287
India,1869,IND,250501067.0,,,,,,,,,,,,,,,,,,,,,2874.006,,,,0.198,1.171,109.778,0.438,215.629,0.861,23.812,0.095,,,,,,,,,,,,5.184,,,4.247,,5.008,0.001,0.001,0.002,0.0,293.283,49.512
India,1870,IND,251115205.0,215049994240.0,,,,,,,,,,,,,,,,,,,,2983.762,,,,0.202,1.175,109.757,0.437,217.394,0.866,23.866,0.095,,,,,,,,,,,,5.12,,,3.871,,4.981,0.001,0.001,0.002,0.0,295.061,50.719
India,1871,IND,251636609.0,,,,,,,,,,,,,,,,,,,,,3093.578,,,,0.202,1.177,109.816,0.436,217.755,0.865,24.253,0.096,,,,,,,,,,,,5.061,,,3.847,,4.951,0.001,0.001,0.002,0.0,296.075,50.824
India,1872,IND,252064885.0,,,,,,,,,,,,,,,,,,,,,3204.223,,,,0.202,1.18,110.645,0.439,218.116,0.865,25.205,0.1,,,,,,,,,,,,4.993,,,3.625,,4.906,0.001,0.001,0.002,0.0,297.484,50.946
India,1873,IND,252399639.0,,,,,,,,,,,,,,,,,,,,,3314.807,,,,0.202,1.187,110.584,0.438,218.477,0.866,26.591,0.105,,,,,,,,,,,,4.936,,,3.711,,4.866,0.001,0.001,0.002,0.0,299.633,51.081
India,1874,IND,252734813.0,,,,,,,,,,,,,,,,,,,,,3424.594,,,,0.203,1.192,109.786,0.434,218.838,0.866,28.28,0.112,,,,,,,,,,,,4.869,,,3.455,,4.822,0.001,0.001,0.002,0.0,301.231,51.225
India,1875,IND,253070405.0,,,,,,,,,,,,,,,,,,,,,3534.567,,,,0.203,1.201,109.973,0.435,219.199,0.866,30.142,0.119,,,,,,,,,,,,4.802,,,3.371,,4.776,0.001,0.001,0.002,0.0,303.894,51.374
India,1876,IND,253406417.0,,,,,,,,,,,,,,,,,,,,,3645.312,,,,0.203,1.21,110.746,0.437,219.56,0.866,32.045,0.126,,,,,,,,,,,,4.741,,,3.373,,4.732,0.002,0.001,0.003,0.0,306.509,51.524
